clubID,clubYearFounded,clubShirtSponsor,clubName,clubCity
C001,1898,Petronor,Athletic Club,Bilbao
C002,1903,Baku 2015,Atletico Madrid,Madrid
C003,1899,Qatar Airways,FC Barcelona,Barcelona
C004,1954,Acerbis,Cordoba CF,Cordoba
C005,1923,Citroen,Real Celta de Vigo,Vigo
C006,1989,Urcisol,UD Almeria,Almeria
C007,1900,Power 8,RCD Espanyol,Barcelona
C008,1983,Confremar,Getafe CF,Getafe
C009,1931,Solver,Granada CF,Granada
C010,1904,Nike,Levante UD,Valencia
C011,1923,UNESCO,Malaga CF,Malaga
C012,1923,Gioseppo,Elche CF,Elche
C013,1906,Estrella Galicia,Deportivo La Coruna,A Coruna
C014,1924,qbao.com,Rayo Vallecano,Madrid
C015,1902,Fly Emirates,Real Madrid,Madrid
C016,1909,qbao.com,Real Sociedad,San Sebastian
C017,1930,Visit Malaysia,Sevilla,Seville
C018,1919,CaixaBank,Valencia CF,Valencia
C019,1940,Hierros Servando,SD Eibar,Eibar
C020,1923,Aeroport Castello,Villareal CF,Villareal
