dateHired,clubID,coachID,coachSalary
2013,C001,H001,2700000
2011,C002,H002,3400000
2014,C003,H003,7300000
2014,C004,H004,680000
2014,C005,H005,950000
2013,C006,H006,680000
2014,C007,H007,1350000
2014,C008,H008,1600000
2014,C009,H009,810000
2014,C010,H010,740000
2014,C011,H011,1080000
2012,C012,H012,880000
2014,C013,H013,810000
2012,C014,H014,680000
2013,C015,H015,10100000
2014,C016,H016,680000
2013,C017,H017,2000000
2014,C018,H018,2400000
2012,C019,H019,680000
2013,C020,H020,2400000
